False_Positive_Rate,True_Positive_Rate
0.03557142857142857,0.481
0.03585714285714286,0.481
0.03585714285714286,0.483
0.036,0.483
0.036,0.4835
0.03614285714285714,0.4835
0.03614285714285714,0.484
0.03628571428571428,0.484
0.03628571428571428,0.485
0.036571428571428574,0.485
0.036571428571428574,0.4855
0.03671428571428571,0.4855
0.03671428571428571,0.487
0.037,0.487
0.037,0.4875
0.03728571428571428,0.4875
0.03728571428571428,0.488
0.037714285714285714,0.488
0.037714285714285714,0.4895
0.038142857142857145,0.4895
0.038142857142857145,0.4905
0.038285714285714284,0.4905
0.038285714285714284,0.492
0.03842857142857143,0.492
0.03842857142857143,0.4955
0.03857142857142857,0.4955
0.03857142857142857,0.497
0.038857142857142854,0.497
0.038857142857142854,0.499
0.039,0.499
0.039,0.4995
0.039142857142857146,0.4995
0.039142857142857146,0.503
0.04,0.503
0.04,0.5035
0.04014285714285714,0.5035
0.04014285714285714,0.505
0.04071428571428572,0.505
0.04071428571428572,0.506
0.040857142857142856,0.506
0.040857142857142856,0.5065
0.04185714285714286,0.5065
0.04185714285714286,0.5075
0.042,0.5075
0.042,0.5105
0.04214285714285714,0.5105
0.04214285714285714,0.511
0.04228571428571429,0.511
0.04228571428571429,0.5115
0.04257142857142857,0.5115
0.04257142857142857,0.512
0.04285714285714286,0.512
0.04285714285714286,0.5125
0.04342857142857143,0.5125
0.04342857142857143,0.513
0.04357142857142857,0.513
0.04357142857142857,0.5135
0.044,0.5135
0.044,0.5145
0.04428571428571428,0.5145
0.04428571428571428,0.516
0.04442857142857143,0.516
0.04442857142857143,0.517
0.044571428571428574,0.517
0.044571428571428574,0.52
0.04471428571428571,0.52
0.04471428571428571,0.522
0.04485714285714286,0.522
0.04485714285714286,0.5225
0.045142857142857144,0.5225
0.045142857142857144,0.524
0.04528571428571428,0.524
0.04528571428571428,0.5245
0.04542857142857143,0.5245
0.04542857142857143,0.525
0.045714285714285714,0.525
0.045714285714285714,0.5255
0.04585714285714286,0.5255
0.04585714285714286,0.526
0.046,0.526
0.046,0.527
0.046285714285714284,0.527
0.046285714285714284,0.5275
0.04642857142857143,0.5275
0.04642857142857143,0.528
0.04657142857142857,0.528
0.04657142857142857,0.529
0.046857142857142854,0.529
0.046857142857142854,0.5295
0.047,0.5295
0.047,0.53
0.047142857142857146,0.53
0.047142857142857146,0.531
0.047285714285714285,0.531
0.047285714285714285,0.532
0.04742857142857143,0.532
0.04742857142857143,0.533
0.04757142857142857,0.533
0.04757142857142857,0.535
0.047857142857142855,0.535
0.047857142857142855,0.536
0.048,0.536
0.048,0.538
0.04814285714285714,0.538
0.04814285714285714,0.5385
0.048285714285714286,0.5385
0.048285714285714286,0.539
0.04857142857142857,0.539
0.04857142857142857,0.5395
0.04871428571428572,0.5395
0.04871428571428572,0.5405
0.048857142857142856,0.5405
0.048857142857142856,0.542
0.049,0.542
0.049,0.5425
0.04957142857142857,0.5425
0.04957142857142857,0.544
0.04971428571428571,0.544
0.04971428571428571,0.5445
0.04985714285714286,0.5445
0.04985714285714286,0.545
0.05028571428571429,0.545
0.05028571428571429,0.5475
0.05042857142857143,0.5475
0.05042857142857143,0.548
0.05057142857142857,0.548
0.05057142857142857,0.55
0.05071428571428571,0.55
0.05071428571428571,0.5505
0.051,0.5505
0.051,0.5515
0.05128571428571429,0.5515
0.05128571428571429,0.553
0.051571428571428574,0.553
0.051571428571428574,0.5535
0.05171428571428571,0.5535
0.05171428571428571,0.554
0.05185714285714286,0.554
0.05185714285714286,0.5545
0.052,0.5545
0.052,0.555
0.052714285714285714,0.555
0.052714285714285714,0.556
0.05285714285714286,0.556
0.05285714285714286,0.5565
0.053142857142857144,0.5565
0.053142857142857144,0.559
0.05342857142857143,0.559
0.05342857142857143,0.5595
0.05357142857142857,0.5595
0.05357142857142857,0.5605
0.053714285714285714,0.5605
0.053714285714285714,0.563
0.054,0.563
0.054,0.564
0.05442857142857143,0.564
0.05442857142857143,0.5655
0.054857142857142854,0.5655
0.054857142857142854,0.5675
0.055142857142857146,0.5675
0.055142857142857146,0.569
0.05542857142857143,0.569
0.05542857142857143,0.5725
0.055857142857142855,0.5725
0.055857142857142855,0.5735
0.056285714285714286,0.5735
0.056285714285714286,0.574
0.056428571428571425,0.574
0.056428571428571425,0.5765
0.05671428571428572,0.5765
0.05671428571428572,0.579
0.05714285714285714,0.579
0.05714285714285714,0.581
0.05728571428571429,0.581
0.05728571428571429,0.5815
0.05785714285714286,0.5815
0.05785714285714286,0.5835
0.058,0.5835
0.058,0.584
0.05842857142857143,0.584
0.05842857142857143,0.585
0.05871428571428571,0.585
0.05871428571428571,0.5865
0.059,0.5865
0.059,0.587
0.05914285714285714,0.587
0.05914285714285714,0.5925
0.05942857142857143,0.5925
0.05942857142857143,0.593
0.059571428571428574,0.593
0.059571428571428574,0.5935
0.06,0.5935
0.06,0.594
